predicted,actual
0.9244947,
0.9629322,
0.90908617,
0.9425841,
0.9615437,
0.962908,
0.9095881,
0.72572154,
0.8772106,
0.9500275,
0.9457655,
0.9765487,
0.9352639,
0.9587767,
0.9165734,
0.91864705,1.0
0.9316961,
0.96665066,
0.97246766,1.0
0.9661338,
0.91186816,
0.96355116,
0.9482311,
0.91613543,
0.9118372,
0.9680951,
0.9688709,
0.9011373,
0.9727429,
0.7927979,
0.9696944,
0.92421573,
0.8003152,
0.9598321,
0.95849925,
0.9494752,
0.9669262,
0.9124219,1.0
0.7473861,
0.89055246,
0.8738862,
0.95136017,
0.9401303,
0.87265867,
0.96455485,
0.93849814,
0.97386545,
0.9588905,
0.9578079,
0.8910262,
0.91506416,
0.93740296,
0.864282,
0.7210567,1.0
0.912331,
0.91550815,
0.89396834,
0.8502127,1.0
0.9695164,1.0
0.9512305,1.0
0.96086997,
0.9751696,
0.95396674,
0.94369066,1.0
0.9461715,1.0
0.89464784,
0.9132924,
0.9649563,
0.9479283,
0.9484349,
0.938343,
0.97592574,
0.9287548,1.0
0.9380583,
0.9416826,
0.9273461,
0.8969127,
0.93518764,1.0
0.9313625,
0.9243132,0.0
0.9457632,
0.92255133,
0.862838,
0.96283287,
0.9481073,
0.93578327,
0.97097594,
0.8280557,
0.947791,
0.96399695,
0.95286644,
0.8056018,
0.92219037,
0.9254752,1.0
0.96083647,
0.9691293,
0.926559,1.0
0.93325734,
0.9210457,1.0
0.92163557,
0.93969077,1.0
0.9564067,
0.8698416,
0.87823725,
0.9191776,
0.9701623,1.0
0.91654205,
0.9194308,
0.94910663,
0.9539612,
0.98263437,
0.90589154,
0.9680713,
0.9522591,
0.9740384,
0.94506174,1.0
0.93060094,
0.9199298,
0.9680081,
0.95449317,
0.9134349,1.0
0.8967128,1.0
0.97112375,
0.8943997,1.0
0.8480274,
0.9185568,
0.96232057,
0.94071674,
0.9361961,
0.9384332,
0.95395476,
0.9389678,
0.9265128,
0.95335233,
0.89690864,
0.96322,
0.9682266,
0.71842444,
0.9571265,
0.8329905,
0.88331634,
0.8374413,
0.87192255,
0.95028055,1.0
0.9141357,
0.72701544,
0.96586186,
0.9699981,
0.9481955,1.0
0.8478343,
0.9110163,
0.9719991,
0.9329106,1.0
0.9475211,1.0
0.97108614,1.0
0.9397822,1.0
0.94461286,
0.9687246,
0.94508976,
0.97842467,
0.9415659,
0.89432794,1.0
0.9422786,1.0
0.8954908,
0.9093818,
0.94490874,1.0
0.9635514,
0.9778196,
0.8877688,
0.9458862,
0.88042885,
0.9730401,
0.96243495,
0.92872906,
0.95213073,
0.91726565,1.0
0.97985405,
0.8305692,
0.96100724,1.0
0.9253836,
0.95669305,
0.8922728,
0.9358279,
0.9451009,
0.94841397,
0.9551534,
0.9279024,
0.9698436,
0.9548733,
0.97281265,
0.9428661,
0.8282914,1.0
0.75403076,
0.9510317,
0.9865508,
0.75536966,1.0
0.91854,
0.9331168,
0.94458306,
0.83298093,
0.91657597,
0.962767,
0.967599,
0.98393494,
0.9773412,
0.98409086,
0.91751224,
0.8993542,1.0
0.976132,
0.9066072,
0.9515653,1.0
0.8552866,
0.9388932,
0.971485,
0.8905553,
0.8174602,
0.9433519,1.0
0.924649,
0.9536055,1.0
0.8618633,
0.9682675,
0.962613,
0.96232224,
0.8810881,1.0
0.9419916,1.0
0.9647105,1.0
0.8812088,
0.9657069,
0.796427,
0.9554121,
0.9679019,
0.9705712,
0.96829325,
0.87815315,
0.9142355,
0.976904,1.0
0.8961579,1.0
0.9458697,
0.90778047,1.0
0.95947933,1.0
0.9717613,
0.89051485,
0.9344622,
0.9665778,
0.91663367,1.0
0.9218724,
0.93636453,
0.895782,
0.958364,
0.96628666,
0.89843756,
0.9399466,1.0
0.837335,
0.900383,
0.96765625,
0.9398095,
0.8715436,
0.9041052,
0.9327466,
0.71596617,
0.9643172,
0.96213955,
0.9734605,
0.955916,1.0
0.94380885,
0.7344369,
0.8346998,
0.8702208,
0.94492686,
0.9422239,1.0
0.93691915,
0.9037767,
0.9230709,
0.93739444,
0.82067674,1.0
0.9640572,
0.95501465,
0.9521754,
0.9478533,
0.9452395,
0.966142,
0.9781091,
0.7802615,1.0
0.85922945,1.0
0.8231849,
0.9698127,
0.9306634,
0.9637267,1.0
0.9470652,
0.9557356,
0.88042367,
0.9768097,1.0
0.9646923,
0.9300307,
0.75240195,1.0
0.95075023,
0.91258407,1.0
0.9501067,
0.930171,
0.9359115,
0.96653837,
0.8711286,
0.97083586,
0.9398654,
0.9558718,
0.89511997,
0.9359862,
0.96594954,
0.9556739,
0.9438711,1.0
0.9303954,0.0
0.9707653,
0.9567394,
0.82392067,
0.9263411,
0.86431766,
0.9245626,
0.9683598,1.0
0.9461778,
0.9774999,
0.9368321,1.0
0.94030243,
0.95988435,
0.9381794,
0.9260455,1.0
0.8453042,
0.84411186,
0.7484897,
0.8419993,
0.9608887,
0.9330492,
0.97662544,
0.90651834,
0.92655814,
0.9506501,
0.90721405,
0.9571035,
0.9600886,
0.87790346,1.0
0.95366085,1.0
0.83216935,1.0
0.8809468,1.0
0.83800036,
0.91865045,
0.91430825,
0.9376133,1.0
0.96277165,1.0
0.9143191,1.0
0.9592443,
0.9539486,
0.81318617,
0.94862944,
0.87480706,
0.9594777,
0.94038314,1.0
0.85838526,
0.9209006,
0.9143507,1.0
0.7649555,
0.95475614,
0.80451757,
0.9600214,
0.71705586,1.0
0.9429955,
0.97371846,
0.9256536,
0.93306726,1.0
0.94876486,
0.710653,
0.97314173,1.0
0.9157876,
0.9285242,
0.9643578,
0.8445903,
0.9291566,
0.92839295,
0.96374696,
0.9464405,
0.78473276,
0.9673876,
0.91053534,1.0
0.87063897,
0.8736094,
0.89441174,
0.7649582,1.0
0.9496485,1.0
0.94943935,
0.9275195,
0.96871823,1.0
0.9212434,
0.9129632,
0.93790007,1.0
0.97358125,
0.96285486,
0.9352962,
0.87988186,
0.8917508,
0.81509995,
0.9379014,1.0
0.94547564,
0.9506391,1.0
0.9426703,
0.95107716,
0.952192,
0.95462537,
0.92710775,
0.920975,
0.80541575,
0.9746416,1.0
0.91922456,
0.95261145,1.0
0.9043311,
0.9159016,
0.9379828,
0.9452796,
0.8332341,
0.97638685,
0.9245304,
0.9571951,
0.89100426,
0.9566037,
0.94410753,
0.96041405,
0.95033425,
0.93385434,
0.83864844,
0.8968329,
0.97251564,
0.95660514,0.0
0.91550297,1.0
0.92892987,1.0
0.9719468,
0.98036593,
0.9542328,
0.89772874,1.0
0.9475136,
0.8321124,
0.96105564,1.0
0.95349884,
0.8542275,
0.9622804,
0.95169014,
0.8208298,1.0
0.9329912,
0.9430127,
0.90935177,
0.94415677,
0.92764544,
0.9535966,1.0
0.9663679,
0.9631657,
0.6651209,
0.9453211,1.0
0.91682285,0.0
0.95039314,
0.9484348,
0.9346988,1.0
0.9457056,1.0
0.91486853,
0.9521949,
0.91182446,
0.8890956,
0.96688473,
0.8796663,
0.96726036,1.0
0.86000365,
0.9769867,
0.97658485,
0.93766344,
0.91896665,
0.7819471,
0.9712195,
0.9456494,
0.95452726,
0.96548015,
0.91876066,
0.97118133,
0.9335967,
0.95714355,
0.890688,
0.8986715,
0.9586788,1.0
0.89972204,
0.9445099,
0.9393544,
0.8441668,
0.8998928,
0.8435769,
0.93923634,
0.86979306,1.0
0.9438265,
0.9257649,1.0
0.9478063,
0.9773361,1.0
0.9324304,1.0
0.932858,1.0
0.79344106,
0.9411471,
0.82391036,
0.9326312,
0.93810606,
0.81978345,
0.8880537,
0.779975,0.0
0.96058506,
0.7764384,
0.93865734,1.0
0.9216902,
0.95039463,
0.8510577,
0.94683224,1.0
0.9516534,
0.9375353,
0.93916,
0.9714087,
0.9410332,
0.88674426,
0.97230023,0.0
0.8216264,
0.953331,
0.9387013,1.0
0.9432923,
0.95372725,
0.8631095,0.0
0.9237403,1.0
0.91553575,
0.8925354,1.0
0.8902339,
0.8678601,
0.8927893,
0.97463745,
0.9263587,
0.96955204,
0.8322515,
0.7729403,
0.96371377,
0.9288535,
0.9461278,1.0
0.9657228,
0.9499292,
0.9099082,
0.7989892,
0.9120241,
0.95848763,
0.9264365,
0.9070766,1.0
0.9673766,
0.9616495,
0.9544567,
0.9286014,
0.9767427,
0.83744496,
0.9770064,
0.83676696,
0.9562335,1.0
0.9829343,
0.8978016,1.0
0.9129063,
0.93740326,
0.9490904,1.0
0.81625414,
0.9485575,1.0
0.9431961,
0.9705557,
0.96120125,
0.9499336,1.0
0.91372377,1.0
0.840435,
0.8142545,1.0
0.80880517,
0.9597529,
0.9792802,
0.9558112,
0.6939896,
0.9538554,
0.9765055,
0.9783931,
0.7692497,
0.9727473,
0.928857,
0.81075007,
0.9537957,
0.87987274,
0.9323913,1.0
0.8910139,
0.91712785,
0.94702303,
0.927407,
0.9694762,
0.88276476,
0.9579222,
0.95185816,
0.90797436,
0.9598375,1.0
0.97029716,1.0
0.8534386,
0.915773,
0.9634982,
0.9550851,
0.9077257,
0.9482951,
0.94592655,
0.61058813,
0.8874533,
0.96501696,1.0
0.89197755,
0.96263355,
0.93098843,
0.9429387,1.0
0.959196,
0.92672664,1.0
0.9555108,
0.9737423,
0.92228156,
0.9528028,1.0
0.96582943,
0.9641065,
0.9540313,
0.81330925,
0.9023445,
0.9725583,
0.94306,
0.96446234,
0.8679207,1.0
0.83678406,
0.7017159,
0.9343026,
0.9555387,
0.90271187,1.0
0.9352774,
0.848951,
0.9462189,
0.7342339,
0.9311142,
0.94662666,1.0
0.9313666,
0.93112785,
0.95546716,
0.9722276,
0.9403602,1.0
0.91344625,
0.9164568,
0.95175123,
0.96175677,
0.93247586,
0.9645717,
0.86254984,1.0
0.9234303,0.0
0.9636607,
0.8077685,
0.9448369,
0.9536216,1.0
0.9716309,1.0
0.9231655,
0.9471122,
0.9093301,
0.899564,
0.96105844,
0.8325681,1.0
0.9485068,
0.9741401,
0.941413,
0.9486337,
0.9540673,
0.97382957,
0.9305202,
0.9527047,1.0
0.8047998,0.0
0.87769395,
0.9513534,
0.79848516,
0.82348955,
0.9642202,1.0
0.9109206,
0.96743137,
0.95912224,
0.9280678,
0.97249955,
0.87660605,1.0
0.7610179,1.0
0.9643311,
0.96477026,1.0
0.9499822,
0.958476,
0.9579374,
0.9073203,
0.9780383,
0.9174519,1.0
0.968628,1.0
0.93619543,
0.9093841,
0.96635365,1.0
0.8823849,
0.7394873,1.0
0.8352479,
0.9357891,1.0
0.7460154,
0.82717055,
0.8722785,
0.97612256,
0.919772,
0.9672404,
0.8639518,
0.9205531,
0.9114345,
0.9006822,1.0
0.9466354,
0.9782607,
0.9331606,
0.7554426,1.0
0.93836504,0.0
0.9516641,
0.81946343,1.0
0.9477724,
0.95318234,
0.82696587,
0.9219514,
0.94166577,
0.79801077,
0.9100693,
0.7646346,
0.8908289,1.0
0.9573019,
0.96858406,
0.8962658,
0.86244106,
0.9011906,
0.9036785,1.0
0.95651984,
0.97073245,
0.9488327,
0.9592315,
0.943853,
0.96327037,1.0
0.84396595,1.0
0.79502535,
0.9687246,
0.9181375,
0.9590479,
0.95032907,
0.9321211,
0.8467993,1.0
0.9513692,
0.9726908,1.0
0.9149218,
0.9235414,
0.93573093,
0.9666527,
0.97298616,
0.95497596,
0.9385645,
0.912322,
0.93225586,1.0
0.9535168,
0.94675404,1.0
0.917174,
0.930123,
0.93059105,
0.9496521,
0.9240403,1.0
0.9625713,
0.9529412,
0.9035398,
0.9445067,
0.8742586,
0.9801569,
0.87353283,
0.9623591,
0.96778506,
0.9152818,
0.9683008,
0.9451663,
0.9537221,
0.9551306,
0.9591225,
0.9296921,
0.9329129,
0.9111047,
0.8118085,1.0
0.9154617,
0.8990424,
0.948664,1.0
0.936612,
0.8633494,
0.86573595,
0.9383637,
0.9547669,
0.9638852,
0.914212,
0.8978639,
0.8229916,
0.82489324,
0.89421123,
0.92587006,1.0
0.8359991,
0.92593265,
0.9522279,
0.96605045,
0.93047416,
0.91716385,1.0
0.9400254,
0.8919389,
0.919644,
0.8865764,1.0
0.94685715,
0.96602595,
0.9493519,
0.9312523,
0.96390766,
0.8694345,
0.93850654,1.0
0.9720445,
0.73752946,
0.96769106,
0.9041916,
0.92157006,
0.95803267,
0.94939184,
0.96266216,
0.97347337,0.0
0.9702303,
0.94638896,1.0
0.93017745,1.0
0.88644975,
0.9217483,1.0
0.9443903,
0.9152809,
0.9245353,
0.92125237,
0.9647634,
0.9430556,
0.8958626,
0.97500676,
0.95886123,
0.82298625,
0.92730975,
0.85813004,
0.9486282,1.0
0.94087815,1.0
0.944997,
0.95012444,
0.9365861,1.0
0.9498129,
0.9505477,
0.78751284,
0.92781526,1.0
0.91306853,
0.90338665,
0.9502867,
0.9087173,
0.9353386,
0.9615869,
0.9149214,
0.9649517,
0.96371365,1.0
0.9405956,1.0
0.9634313,
0.9064509,
0.9577647,
0.96050316,
0.90892553,
0.7737578,
0.95154786,
0.92472064,
0.9426411,
0.9522053,
0.9159176,
0.91616976,
0.8134414,1.0
0.72208744,
0.771852,
0.85088277,
0.9310763,
0.7906453,
0.8652053,
0.89329386,
0.9418676,
0.93019456,
0.9708829,
0.9820217,
0.69191086,
0.93179816,
0.9453452,1.0
0.95885116,
0.95891887,
0.8083276,
0.84280837,
0.98024654,1.0
0.940314,
0.880654,1.0
0.9293173,1.0
0.75010735,
0.94853485,1.0
0.9706817,
0.9718773,
0.95913315,
0.96346515,
0.87669784,1.0
0.9170375,
0.973827,
0.84476554,
0.87259007,
0.93889016,1.0
0.8584453,1.0
0.8906182,
0.9648861,1.0
0.9478066,
0.96202135,
0.9259458,
0.94758016,
0.9455884,1.0
0.94897956,1.0
0.8165859,
0.93171674,
0.95737064,0.0
0.88717204,1.0
0.94244903,
0.90121216,
0.92011535,
0.8972374,
0.9398951,0.0
0.82504284,
0.91340905,
0.958928,
0.9150889,
0.9577331,1.0
0.9364615,
0.8692642,
0.9394119,
0.8571535,
0.93683815,
0.72299725,
0.94762063,
0.94741476,
0.9020684,
0.83753574,
0.8906361,
0.6444267,
0.9329911,
0.8725322,
0.9222437,1.0
0.9144442,
0.9414144,
0.92475635,
0.910203,
0.9567319,
0.9092025,
0.9355237,
0.95702267,
0.8734682,1.0
0.9537075,1.0
0.9391963,
0.8821383,
0.94971126,1.0
0.97764444,
0.9280538,
0.9492827,
0.9515972,
0.942961,1.0
0.89267415,
0.976117,
0.96199983,
0.88682985,
0.92415583,
0.8650062,
0.92403847,
0.9152866,
0.9578104,
0.9532287,
0.97075975,1.0
0.9452624,1.0
0.92636293,
0.9623886,
0.8811599,
0.91512305,1.0
0.9410088,
0.96170056,1.0
0.938231,
0.94731396,
0.96489656,
0.83543026,
0.90271467,
0.9679722,
0.94341546,
0.97786146,
0.94099754,1.0
0.90970343,
0.9618875,
0.82875717,
0.9464686,
0.86794215,
0.92457306,
0.9113348,
0.96210504,
0.9710462,
0.92542404,1.0
0.944619,
0.8680529,
0.9814214,
0.82839435,
0.87877816,
0.844753,
0.9656891,
0.9210302,
0.87533164,
0.9353949,
0.8816827,
0.93708825,
0.96324843,
0.9481907,
0.9097264,
0.9612927,
0.93126726,1.0
0.9139601,1.0
0.9205576,
0.95122,1.0
0.9033235,
0.94326633,
0.97607577,
0.96684974,1.0
0.9586962,
0.95361274,
0.95905364,
0.86617386,
0.946814,
0.8180849,
0.88050413,
0.9622362,
0.8725765,
0.9684199,1.0
0.93395406,1.0
0.9131353,
0.7832502,
0.9309325,
0.96107197,
0.96237355,1.0
0.9099512,1.0
0.9506749,
0.97642255,
0.98601216,
0.861096,1.0
0.9512989,
0.9191756,
0.9867465,
0.74117076,1.0
0.9382526,
0.9569548,1.0
0.9595183,
0.8828928,
0.91990507,
0.8703073,
0.9401743,
0.9501184,
0.8417225,
0.98143,
0.97628164,
0.95757776,
0.90695655,
0.96013397,
0.9058049,1.0
0.91940814,
0.92375153,1.0
0.9576082,
0.9716793,
0.930278,
0.9549729,
0.9392537,
0.962783,
0.9672607,
0.95483756,
0.9610287,
0.8927506,
0.97979945,1.0
0.9212315,1.0
0.9647758,
0.9255625,
0.8454084,
0.9588785,1.0
0.8821249,
0.890214,1.0
0.9714806,1.0
0.8667567,1.0
0.9709934,
0.9053304,
0.94179016,1.0
0.9445707,1.0
0.8832105,
0.95387816,
0.9730479,
0.78797215,
0.9090987,
0.8726288,
0.9687246,
0.9665367,
0.83739513,
0.92662776,
0.962374,
0.9633687,
0.9306881,
0.915217,
0.9525749,
0.9393681,
0.8978346,1.0
0.91716003,
0.91702676,
0.78197116,
0.9089242,1.0
0.9810447,
0.9508085,
0.88990843,
0.97234374,
0.93696433,
0.9722102,
0.94322944,
0.92184013,
0.97551167,
0.92022127,
0.9694151,
0.94810927,
0.92328554,
0.97284037,
0.9401871,
0.9488107,
0.965707,
0.9587495,
0.9581766,1.0
0.9148071,1.0
0.95629376,
0.92755604,1.0
0.96196985,
0.95747185,
0.94374865,1.0
0.90047586,
0.9218644,
0.93499327,
0.9054184,
0.8727228,
0.96266437,1.0
0.8371922,
0.92383313,
0.9711096,
0.9686583,
0.94451916,
0.89973575,
0.9132963,1.0
0.96452886,1.0
0.94321996,
0.9409992,
0.9129799,1.0
0.9704142,
0.8563428,
0.97506034,1.0
0.9642183,1.0
0.85427624,
0.9578828,
0.95938534,
0.97619814,
0.945831,
0.9777288,
0.81946737,
0.9436644,
0.9518353,1.0
0.9270368,
0.9453089,
0.95249367,
0.82136256,
0.9660546,
0.8700528,
0.90359354,
0.97091347,1.0
0.6490788,
0.80963665,1.0
0.86862653,
0.92446524,
0.9103197,
0.8562948,
0.8433762,
0.9713939,
0.9043053,1.0
0.9458605,
0.87467736,
0.9018525,1.0
0.97347295,
0.94099194,1.0
0.9706971,
0.9165612,
0.8731976,1.0
0.94441885,
0.9189734,
0.96288246,
0.9662465,
0.959544,
0.90249187,
0.9730032,
0.9570555,1.0
0.8694523,
0.94401777,
0.93876815,
0.68860847,
0.90414613,
0.7841509,
0.9043737,1.0
0.8988225,
0.89514005,
0.9707172,
0.92872643,
0.7442271,
0.8579651,1.0
0.8302162,
0.970181,
0.91119564,1.0
0.97576445,1.0
0.93255764,
0.9446218,
0.907617,1.0
0.8382794,1.0
0.9174648,
0.9510886,
0.9428504,1.0
0.9423002,
0.9277739,
0.92757344,
0.976513,1.0
0.9787577,
0.95721257,
0.9331207,
0.95904255,
0.9523678,
0.9721324,
0.9754775,
0.95144653,
0.91969883,
0.8200665,1.0
0.9627274,1.0
0.9397416,
0.91038483,
0.96535826,1.0
0.9529901,1.0
0.97810054,
0.9732877,
0.8803599,
0.90323395,
0.95620024,
0.87245995,1.0
0.9112424,
0.92967993,
0.9741813,1.0
0.9234779,
0.9567197,
0.9631075,
0.96823794,
0.98069525,1.0
0.9512621,1.0
0.8839407,
0.94354475,0.0
0.8517516,
0.93728656,
0.90476435,1.0
0.96108043,
0.8628571,
0.9636954,
0.9697308,
0.97628206,
0.90821236,
0.928953,
0.63865477,
0.8927436,
0.9776129,
0.87431204,
0.8198926,
0.82851374,
0.9748839,
0.9573318,
0.86037445,1.0
0.948715,
0.92348254,
0.91363287,
0.9507857,
0.9433114,1.0
0.8980759,
0.93864125,
0.9532951,
0.94878054,
0.85647,
0.9053675,
0.8718504,
0.93787485,
0.9096523,
0.9217641,
0.9164416,
0.9476854,
0.9227618,1.0
0.97820127,
0.9615765,
0.95636016,1.0
0.9124316,
0.9589703,
0.8493715,
0.9780251,
0.9331445,1.0
0.801025,0.0
0.9571538,
0.954607,
0.8845869,
0.93579286,1.0
0.89325094,1.0
0.9362698,
0.94538784,1.0
0.96583986,
0.78221923,
0.9584424,
0.96812826,
0.8359908,
0.81270653,1.0
0.7888728,1.0
0.9591448,
0.9740831,
0.9633279,
0.940314,1.0
0.9666725,1.0
0.967673,
0.8186747,
0.9619801,
0.9143397,
0.97135174,
0.9261624,1.0
0.9598322,
0.8357663,0.0
0.97747153,
0.96610403,1.0
0.91268724,
0.96911913,
0.96687204,
0.88968456,
0.9185752,
0.94974,
0.89560366,
0.9784846,
0.8734047,
0.9356156,
0.94070214,1.0
0.91749877,
0.94380575,1.0
0.90270954,
0.89542127,
0.97856253,
0.8891213,
0.62790847,
0.94790995,
0.9767363,
0.9108945,
0.9569993,1.0
0.9670942,
0.9572871,
0.92614853,
0.8416956,
0.8404416,1.0
0.9754512,
0.85522825,
0.9145787,
0.8396045,1.0
0.86394286,
0.9660462,
0.9629356,
